Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x0637ad0c8e6d2d1e7313b04fbf0a8005a3028593b019fb47d44350d253e83fdb","Success","Transfer","21352050","2024-12-07 17:17:35","0xec9fc235a8064698a2533c2d489deff4fba8226b","","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","0.00092296"
"0x40e239fa2044bf70bac7894b243b47345fbaa1fbfb44ba01049137bbf9629b88","Success","Transfer","21352050","2024-12-07 17:17:35","0xc1da33e8d60daf4f93a52357a57a076f44c45759","","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","0.00092296"
"0x3a184b613162badd5ca2c705855d72bd3b8e070a778921b5f19457de7e92edda","Success","0x000001ad","21352050","2024-12-07 17:17:35","0x6015eb3a1d8a3a865aa9a69954677a39b89f550c","","0x3a23f943181408eac424116af7b7790c94cb97a5","Socket: Gateway","0.257798079 ETH","$1,029.39","0.00123598"
"0x4004bb1e9e31cf25a3691ad7bcbb232cff989bc3d887ecef84c814a95b658940","Success","Bond Withdrawal","21352050","2024-12-07 17:17:35","0x710bda329b2a6224e4b44833de30f38e7f81d564","Hop Protocol: ETH Bonder","0xb8901acb165ed027e32754e0ffe830802919727f","Hop Protocol: Ethereum Bridge","0 ETH","$0.00","0.00168446"
"0xceaa47bacca804e2cc32a7b69ff9adf4fbcc0a3948853946a48cb28eb0ae6ca3","Success","0x2213bc0b","21352050","2024-12-07 17:17:35","0x11bdc857e0b5083b05af562607995f2dae765913","","0x0000000000001ff3684f28c67538d4d072c22734","","0.387879151 ETH","$1,548.81","0.00224776"
"0x9011349f1962076cbd7aaa66c3bdd4624ab34a033d8dcb2d44c1c2b0af4a2b6f","Success","Transfer","21352050","2024-12-07 17:17:35","0x94dbf04e273d87e6d9bed68c616f43bf86560c74","","0x6021d60baa6d6fad3df2756dd556e16e4a347d9a","","0.06364913 ETH","$254.15","0.00031735"
"0xec26ad78efdc9f8d5d916ab131eff359e89564f37dd6ce3831e5763b89a2731b","Success","Transfer","21352050","2024-12-07 17:17:35","0xcfc0f98f30742b6d880f90155d4ebb885e55ab33","Zero Hash 1","0x3bea651edb5ffd8cbf92610ebc971ce437393e65","","0.171956 ETH","$686.62","0.00031735"
"0x8ddc314311744aa0fcd5dc84e9b8ecdefd41a1eff58a7b7b57f65ab6e65fba41","Success","Claim Rewards","21352050","2024-12-07 17:17:35","0x8599a6cab9617ffb12e6f11ad119caee7323a2c4","","0xb09da56fa0f59e6a6ea7c851ad30956351b0bb7d","","0 ETH","$0.00","0.0027347"
"0x26e0d9a3dcc9f6111a4d3c8d54728e1ce07e07799d17281f3bae2ec1b211bc6e","Success","Unxswap To","21352050","2024-12-07 17:17:35","0xb1b2d032aa2f52347fbcfd08e5c3cc55216e8404","","0x7d0ccaa3fac1e5a943c5168b6ced828691b46b36","OKX: Dex Router","0 ETH","$0.00","0.00197012"
"0xb94e7eb0132fdcd13376c02ff4f3ea75db84729bf70b7091d543ae3c8343bd4e","Success","0x2213bc0b","21352050","2024-12-07 17:17:35","0xee4f4c35aa2a041da6a59b96e870875ee33853e8","","0x0000000000001ff3684f28c67538d4d072c22734","","0 ETH","$0.00","0.00237456"
"0xab77f80c442791aee387c39f02d9e0fe23be23ff28cf381d509f6074cab110f7","Success","Swap","21352050","2024-12-07 17:17:35","0xc475e5c4fe2d579826e9c254ef057dc9e260a417","","0x1111111254eeb25477b68fb85ed929f73a960582","Aggregation Router V5","0.09510997 ETH","$379.78","0.00244817"
"0xfa4e1322538985b4a75824db2365ffa5f3d26640fdead4c889dac74e13f51393","Success","0x2213bc0b","21352050","2024-12-07 17:17:35","0x8da38e0df5d1616c65dceb2367999bba27d10eff","","0x0000000000001ff3684f28c67538d4d072c22734","","0 ETH","$0.00","0.00259876"
"0x1765b7dcb015042e2a184b6f6f4f45e5e41335dfd1afa0acc6188baa9ab7e4d0","Success","Transfer","21352050","2024-12-07 17:17:35","0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511","Coinbase 5","0xa6df79f34b275fb89ac943a22a07361b1825541b","","0.00501015 ETH","$20.01","0.00032553"
"0x9c7970f42c307a301f76c08ad8011fdd3f6e7413fbe09d444f44162480f34775","Success","Transfer","21352050","2024-12-07 17:17:35","0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511","Coinbase 5","0x6e0df302c27052935d337f5816b352b1052d07cc","","0.061959 ETH","$247.40","0.00032553"
"0xe8c7e4d431d0123f36b21e2ff039e6b32323d4946714766ab8a8033c9822c6ce","Success","Transfer","21352050","2024-12-07 17:17:35","0x6596da8b65995d5feacff8c2936f0b7a2051b0d0","Gate.io: Deposit Funder","0x5983955ebfc3d3d10b48911a5221b48b58a5b08f","","0.004023035 ETH","$16.06","0.00032553"
